"mode","result"
"Online","Pass"
"Offline","Pass"
"Offline","Pass"
"Online","Pass"
"Offline","Fail"
"Offline","Pass"
"Offline","Pass"
"Offline","Fail"
"Online","Pass"
"Online","Pass"
"Offline","Pass"
"Online","Pass"
"Offline","Fail"
"Online","Pass"
"Online","Fail"
"Online","Fail"
"Offline","Fail"
"Offline","Fail"
"Online","Pass"
"Offline","Pass"
"Offline","Pass"
"Offline","Fail"
"Offline","Pass"
"Offline","Fail"
"Offline","Pass"
"Online","Pass"
"Offline","Pass"
"Offline","Fail"
"Offline","Pass"
"Offline","Pass"
"Offline","Fail"
"Offline","Pass"
"Offline","Fail"
"Online","Pass"
"Online","Pass"
"Offline","Pass"
"Offline","Pass"
"Offline","Fail"
"Online","Pass"
"Offline","Fail"
"Online","Pass"
"Online","Fail"
"Offline","Fail"
"Online","Fail"
"Offline","Pass"
"Offline","Fail"
"Offline","Pass"
"Online","Fail"
"Online","Pass"
"Offline","Fail"
"Offline","Pass"
"Offline","Fail"
"Offline","Pass"
"Offline","Pass"
"Online","Pass"
"Online","Pass"
"Offline","Pass"
"Online","Pass"
"Online","Pass"
"Offline","Fail"
"Online","Pass"
"Online","Pass"
"Online","Pass"
"Online","Pass"
"Online","Pass"
"Online","Fail"
"Online","Pass"
"Online","Pass"
"Offline","Fail"
"Online","Pass"
"Online","Pass"
"Online","Fail"
"Online","Pass"
"Online","Pass"
"Offline","Pass"
"Offline","Fail"
"Offline","Fail"
"Online","Pass"
"Offline","Pass"
"Online","Pass"
"Online","Fail"
"Online","Pass"
"Offline","Fail"
"Offline","Pass"
"Online","Pass"
"Online","Pass"
"Offline","Pass"
"Offline","Fail"
"Offline","Pass"
"Online","Pass"
"Online","Pass"
"Offline","Fail"
"Offline","Fail"
"Online","Fail"
"Online","Pass"
"Offline","Pass"
"Offline","Pass"
"Online","Fail"
"Offline","Fail"
"Online","Fail"
"Online","Pass"
"Offline","Pass"
"Offline","Pass"
"Online","Pass"
"Online","Pass"
"Online","Fail"
"Online","Pass"
"Online","Pass"
"Offline","Fail"
"Online","Pass"
"Offline","Fail"
"Online","Pass"
"Online","Fail"
"Online","Pass"
"Offline","Pass"
"Offline","Pass"
"Online","Pass"
"Offline","Fail"
"Offline","Pass"
"Offline","Pass"
"Offline","Fail"
"Offline","Pass"
"Online","Pass"
"Online","Pass"
"Offline","Pass"
"Offline","Pass"
"Online","Pass"
"Offline","Pass"
"Online","Pass"
"Online","Fail"
"Offline","Fail"
"Online","Fail"
"Online","Pass"
"Online","Pass"
"Offline","Pass"
"Online","Pass"
"Offline","Fail"
"Online","Fail"
"Offline","Fail"
"Offline","Pass"
"Online","Pass"
"Online","Pass"
"Online","Pass"
"Online","Pass"
"Offline","Fail"
"Online","Pass"
"Online","Pass"
"Online","Fail"
"Offline","Pass"
"Online","Fail"
"Online","Fail"
"Online","Pass"
"Online","Fail"
"Offline","Fail"
"Online","Pass"
"Online","Pass"
"Offline","Pass"
"Offline","Fail"
"Online","Fail"
"Offline","Pass"
"Online","Fail"
"Offline","Fail"
"Offline","Pass"
"Offline","Fail"
"Online","Fail"
"Online","Fail"
"Online","Pass"
"Online","Pass"
"Online","Pass"
"Online","Fail"
"Online","Pass"
"Offline","Pass"
"Online","Fail"
"Offline","Pass"
"Online","Fail"
"Offline","Pass"
"Online","Fail"
"Online","Fail"
"Online","Pass"
"Offline","Fail"
"Online","Fail"
"Online","Pass"
"Online","Fail"
"Online","Pass"
"Online","Pass"
"Online","Fail"
"Offline","Pass"
"Online","Pass"
"Offline","Fail"
"Online","Fail"
"Online","Pass"
"Online","Fail"
"Offline","Pass"
"Online","Pass"
"Online","Pass"
"Online","Fail"
"Offline","Fail"
"Online","Pass"
"Offline","Pass"
"Online","Pass"
